Title,Rating Value,Enrollment Count,Main Category,Link
Â¡A Programar! Una introducciÃ³n a la programaciÃ³n,4.8,159642,https://www.coursera.org/learn/a-programar
Introduction to Ableton Live,4.8,78669,Arts and Humanities,https://www.coursera.org/learn/ableton-live
Anatomy of the Abdomen and Pelvis; a journey from basis to clinic.,4.8,61954,Health,https://www.coursera.org/learn/abdomen-anatomy
3D CAD Fundamental,4.7,54200,Physical Science and Engineering,https://www.coursera.org/learn/3d-cad-fundamental
"Managerial Accounting: Cost Behaviors, Systems, and Analysis",4.7,50633,Business,https://www.coursera.org/learn/accounting-for-managers
"Fundamentals of Sales and Marketing, with Goldman Sachs 10,000 Women",4.6,49155,Business,https://www.coursera.org/learn/10k-women-6
The 3D Printing Revolution,4.7,47934,Business,https://www.coursera.org/learn/3d-printing-revolution
"Grow Your Business with Goldman Sachs 10,000 Women",4.8,45067,Business,https://www.coursera.org/learn/10k-women-1
Cyber Threat Intelligence,4.7,43926,Information Technology,https://www.coursera.org/learn/ibm-cyber-threat-intelligence?specialization=security-analyst-fundamentals
3D Printing Software,4.7,42290,Business,https://www.coursera.org/learn/3d-printing-software
3D Models for Virtual Reality,4.6,41111,Computer Science,https://www.coursera.org/learn/3d-models-virtual-reality
"Fundamentals of Business Finance, with Goldman Sachs 10,000 Women",4.7,35535,Business,https://www.coursera.org/learn/10k-women-2
Accounting Analysis I: The Role of Accounting as an Information System,4.8,33872,Business,https://www.coursera.org/learn/accounting-information-system
Accounting for Decision Making,4.7,33239,https://www.coursera.org/learn/accounting
Project: Writing a Research Paper,4.7,33167,Language Learning,https://www.coursera.org/learn/academic-writing-capstone
VR and 360 Video Production,4.7,31340,https://www.coursera.org/learn/360-vr-video-production
Academic Discussions in English,4.6,29923,Language Learning,https://www.coursera.org/learn/academic-discussion-english
Academic Information Seeking,4.7,26486,Personal Development,https://www.coursera.org/learn/academicinfoseek
3D Model Creation with Autodesk Fusion 360,4.8,26350,Physical Science and Engineering,https://www.coursera.org/learn/3d-model-creation-fusion-360
Aboriginal Worldviews and Education,4.7,25539,Social Sciences,https://www.coursera.org/learn/aboriginal-education
"Fundamentals of Management, with Goldman Sachs 10,000 Women",4.7,22867,Business,https://www.coursera.org/learn/10k-women-8
"Two Speed IT: How Companies Can Surf the Digital Wave, a BCG Perspective",4.3,21366,Business,https://www.coursera.org/learn/2-speed-it
"Fundamentals of Financial Planning, with Goldman Sachs 10,000 Women",4.7,21202,Business,https://www.coursera.org/learn/10k-women-5
"Fundamentals of Leadership, with Goldman Sachs 10,000 Women",4.7,20827,Business,https://www.coursera.org/learn/10k-women-3
ART of the MOOC: Activism and Social Movements,4.5,20262,https://www.coursera.org/learn/activism-social-movements
"Fundamentals of Negotiation, with Goldman Sachs 10,000 Women",4.7,17608,Business,https://www.coursera.org/learn/10k-women-10
3D CAD Application,4.8,16098,Physical Science and Engineering,https://www.coursera.org/learn/3d-cad-application
Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript,4.9,15377,https://www.coursera.org/learn/3d-modeling-rhinoscript
An Introduction to Accessibility and Inclusive Design,4.7,15140,https://www.coursera.org/learn/accessibility
3D Interaction Design in Virtual Reality,4.6,15078,Computer Science,https://www.coursera.org/learn/3d-interaction-design-virtual-reality
"Act on Climate: Steps to Individual, Community, and Political Action",4.8,14964,Physical Science and Engineering,https://www.coursera.org/learn/act-on-climate
å·¥ç¨åå­¸ 2D CAD,4.8,14334,Physical Science and Engineering,https://www.coursera.org/learn/2d-cad
5G for Everyone,4.8,13779,Physical Science and Engineering,https://www.coursera.org/learn/5g-training-qualcomm
"Fundamentals of Operations, with Goldman Sachs 10,000 Women",4.6,13070,Business,https://www.coursera.org/learn/10k-women-7
"Fundamentals of Customers and Competition, with Goldman Sachs 10,000 Women",4.8,12807,Business,https://www.coursera.org/learn/10k-women-4
"Digital Marketing Strategy with Goldman Sachs 10,000 Women",4.7,12542,Business,https://www.coursera.org/learn/10kw-digital-marketing
"Fundamentals of Funding, with Goldman Sachs 10,000 Women",4.6,12129,Business,https://www.coursera.org/learn/10k-women-9
Understanding 9/11: Why 9/11 Happened & How Terrorism Affects Our World Today,4.6,11450,Social Sciences,https://www.coursera.org/learn/911-attack
"Capstone MOOC for ""Android App Development""",4.2,11279,Computer Science,https://www.coursera.org/learn/aadcapstone
Accounting Analysis II: Measurement and Disclosure of Liabilities,4.6,9619,Business,https://www.coursera.org/learn/accounting-analysis-2-liabilities
"A tanulÃ¡s tanulÃ¡sa: HatÃ©kony mentÃ¡lis eszkÃ¶zÃ¶k, melyek segÃ­tenek megbirkÃ³zni a nehÃ©z tantÃ¡rgyakkal (Learning How to Learn)",4.9,9561,Personal Development,https://www.coursera.org/learn/a-tanulas-tanulasa
Access Controls,4.7,7809,Information Technology,https://www.coursera.org/learn/access-control-sscp
3-Axis Machining with Autodesk Fusion 360,4.9,7735,Physical Science and Engineering,https://www.coursera.org/learn/3-axis-machining-autodesk-fusion-360
å·¥ç¨åå­¸ 3D CAD,4.8,7494,Physical Science and Engineering,https://www.coursera.org/learn/3d-cad
ART of the MOOC: Activismo y Movimientos Sociales,4.6,7403,Arts and Humanities,https://www.coursera.org/learn/activismo-movimientos-sociales
Security Principles,4.7,6437,Information Technology,https://www.coursera.org/learn/-security-principles
"Fundamentos de las Ventas y el Marketing con Goldman Sachs 10,000 Women",4.8,5656,Business,https://www.coursera.org/learn/10k-women-esp-6
Digital business - Act on the digital world,4.6,4672,Business,https://www.coursera.org/learn/act-on-digital-world
Current Gen 3D Game Prop Production,4.8,4646,Arts and Humanities,https://www.coursera.org/learn/3d-game-prop-production
A General Approach to Risk Management,4.9,4408,Information Technology,https://www.coursera.org/learn/a-general-approach-to-risk-management
